NGI ID	User ID	RC	Mreads	>=Q30
P29154_101	H_F1_M1_24	PASSED	17.86	86.77
P29154_102	H_F2_M1_24	PASSED	25.17	86.60
P29154_103	H_F3_M1_24	PASSED	17.07	86.60
P29154_104	H_F1_M2_24	PASSED	17.52	86.87
P29154_105	H_F2_M2_24	PASSED	18.38	86.26
P29154_106	H_F3_M2_24	PASSED	18.40	86.78
P29154_107	H_F1_M3_24	PASSED	22.52	87.01
P29154_108	H_F2_M3_24	PASSED	21.95	86.96
P29154_110	H_F6_M4_24	PASSED	20.31	86.33
P29154_111	H_F6_M5_24	PASSED	30.00	86.77
P29154_112	H_F6_M6_24	PASSED	18.34	86.72
P29154_113	H_F7_M7_24	PASSED	23.72	86.22
P29154_114	H_F8_M7_24	PASSED	16.98	86.51
P29154_115	H_F9_M7_24	PASSED	19.28	86.05
P29154_116	H_F7_M8_24	PASSED	18.19	85.97
P29154_117	H_F8_M8_24	PASSED	25.97	86.63
P29154_118	H_F9_M8_24	PASSED	18.11	86.54
P29154_119	H_F7_M9_24	PASSED	20.55	86.19
P29154_120	H_F8_M9_24	PASSED	19.23	86.98
P29154_121	H_F9_M9_24	PASSED	21.69	86.50
P29154_122	H_F10_M10_24	PASSED	16.64	86.16
P29154_123	H_F11_M10_24	PASSED	19.04	86.78
P29154_124	H_F12_M10_24	PASSED	16.44	86.60
P29154_125	H_F10_M11_24	PASSED	17.97	86.59
P29154_126	H_F11_M11_24	PASSED	25.74	86.84
P29154_127	H_F12_M11_24	PASSED	18.78	86.37
P29154_128	H_F10_M12_24	PASSED	19.17	86.17
P29154_129	H_F11_M12_24	PASSED	16.79	86.85
P29154_130	H_F12_M12_24	PASSED	15.27	86.49
P29154_131	H_F13_M13_24	PASSED	20.25	86.32
P29154_132	H_F15_M13_24	PASSED	25.01	86.53
P29154_133	H_F13_M14_24	PASSED	23.58	86.71
P29154_134	H_F14_M14_24	PASSED	19.15	85.85
P29154_135	H_F15_M14_24	PASSED	17.92	86.64
P29154_136	H_F13_M15_24	PASSED	16.46	85.79
P29154_137	H_F14_M15_24	PASSED	17.25	86.59
P29154_138	H_F15_M15_24	PASSED	18.94	86.71
P29154_139	H_F1_M1_14	PASSED	16.78	87.08
P29154_140	H_F2_M1_14	PASSED	13.88	86.26
P29154_141	H_F3_M1_14	PASSED	19.17	86.43
P29154_143	H_F2_M2_14	FAILED	20.78	87.45
P29154_144	H_F3_M2_14	PASSED	18.85	87.09
P29154_145	H_F2_M3_14	PASSED	17.61	86.14
P29154_146	H_F3_M3_14	PASSED	15.53	86.83
P29154_147	H_F6_M4_14	PASSED	16.09	85.65
P29154_148	H_F6_M6_14	PASSED	19.28	86.99
P29154_149	H_F7_M7_14	FAILED	14.17	87.11
P29154_150	H_F8_M7_14	PASSED	22.33	86.78
P29154_151	H_F9_M7_14	PASSED	18.41	86.40
P29154_152	H_F7_M8_14	PASSED	16.93	86.47
P29154_153	H_F8_M8_14	PASSED	17.62	86.90
P29154_154	H_F9_M8_14	PASSED	23.65	87.02
P29154_155	H_F7_M9_14	PASSED	21.86	86.61
P29154_156	H_F8_M9_14	PASSED	18.15	86.98
P29154_157	H_F9_M9_14	FAILED	17.42	87.39
P29154_158	H_F10_M10_14	FAILED	23.22	87.03
P29154_159	H_F11_M10_14	PASSED	22.07	86.83
P29154_160	H_F12_M10_14	PASSED	19.06	86.48
P29154_161	H_F10_M11_14	PASSED	21.71	86.83
P29154_162	H_F11_M11_14	PASSED	18.94	87.12
P29154_163	H_F12_M11_14	PASSED	18.95	86.82
P29154_164	H_F10_M12_14	PASSED	16.18	85.86
P29154_165	H_F11_M12_14	PASSED	23.08	86.68
P29154_166	H_F12_M12_14	PASSED	24.59	86.49
P29154_167	H_F13_M13_14	PASSED	18.85	86.60
P29154_168	H_F14_M13_14	PASSED	20.98	87.70
P29154_169	H_F15_M13_14	PASSED	20.96	86.57
P29154_170	H_F13_M14_14	PASSED	18.21	86.68
P29154_171	H_F14_M14_14	PASSED	17.13	87.12
P29154_172	H_F15_M14_14	PASSED	14.77	86.63
P29154_174	H_F14_M15_14	PASSED	14.17	85.98
P29154_175	H_F15_M15_14	PASSED	21.05	86.47
