contigname	contiglength
CADCXH010000001.1	129571
CADCXH010000002.1	1185781
CADCXH010000003.1	128451
CADCXH010000004.1	124569
CADCXH010000005.1	123505
CADCXH010000006.1	761972
CADCXH010000007.1	111600
CADCXH010000008.1	109880
CADCXH010000009.1	109004
CADCXH010000010.1	105193
CADCXH010000011.1	103107
CADCXH010000012.1	1334230
CADCXH010000013.1	99559
CADCXH010000014.1	93417
CADCXH010000015.1	85616
CADCXH010000016.1	84435
CADCXH010000017.1	725421
CADCXH010000018.1	78344
CADCXH010000019.1	77172
CADCXH010000020.1	66789
CADCXH010000021.1	66084
CADCXH010000022.1	699037
CADCXH010000023.1	63125
CADCXH010000024.1	62774
CADCXH010000025.1	60186
CADCXH010000026.1	59881
CADCXH010000027.1	680695
CADCXH010000028.1	57426
CADCXH010000029.1	56398
CADCXH010000030.1	52255
CADCXH010000031.1	47562
CADCXH010000032.1	45312
CADCXH010000033.1	654836
CADCXH010000034.1	34204
CADCXH010000035.1	33063
CADCXH010000036.1	32339
CADCXH010000037.1	621026
CADCXH010000038.1	30983
CADCXH010000039.1	28060
CADCXH010000040.1	26205
CADCXH010000041.1	609159
CADCXH010000042.1	18830
CADCXH010000043.1	549086
CADCXH010000044.1	985078
CADCXH010000045.1	2254
CADCXH010000046.1	1361
CADCXH010000047.1	734241
CADCXH010000048.1	658371
CADCXH010000049.1	546250
CADCXH010000050.1	614137
CADCXH010000051.1	196267
CADCXH010000052.1	461872
CADCXH010000053.1	345626
CADCXH010000054.1	153136
CADCXH010000055.1	85676
CADCXH010000056.1	316174
CADCXH010000057.1	476514
CADCXH010000058.1	534456
CADCXH010000059.1	527944
CADCXH010000060.1	513312
CADCXH010000061.1	507370
CADCXH010000062.1	496827
CADCXH010000063.1	482992
CADCXH010000064.1	471557
CADCXH010000065.1	686402
CADCXH010000066.1	445523
CADCXH010000067.1	505355
CADCXH010000068.1	408464
CADCXH010000069.1	392916
CADCXH010000070.1	346530
CADCXH010000071.1	346498
CADCXH010000072.1	984115
CADCXH010000073.1	334217
CADCXH010000074.1	330898
CADCXH010000075.1	310459
CADCXH010000076.1	975996
CADCXH010000077.1	299473
CADCXH010000078.1	724080
CADCXH010000079.1	284019
CADCXH010000080.1	380988
CADCXH010000081.1	271986
CADCXH010000082.1	271335
CADCXH010000083.1	270660
CADCXH010000084.1	269814
CADCXH010000085.1	255287
CADCXH010000086.1	250265
CADCXH010000087.1	249553
CADCXH010000088.1	243901
CADCXH010000089.1	243737
CADCXH010000090.1	230837
CADCXH010000091.1	896916
CADCXH010000092.1	230075
CADCXH010000093.1	3851109
CADCXH010000094.1	222500
CADCXH010000095.1	221461
CADCXH010000096.1	214429
CADCXH010000097.1	208222
CADCXH010000098.1	984156
CADCXH010000099.1	303113
CADCXH010000100.1	195767
CADCXH010000101.1	192086
CADCXH010000102.1	189815
CADCXH010000103.1	180076
CADCXH010000104.1	178302
CADCXH010000105.1	371905
CADCXH010000106.1	173440
CADCXH010000107.1	171659
CADCXH010000108.1	169219
CADCXH010000109.1	520634
CADCXH010000110.1	167015
CADCXH010000111.1	166538
CADCXH010000112.1	165345
CADCXH010000113.1	161001
CADCXH010000114.1	803096
CADCXH010000115.1	153941
CADCXH010000116.1	153236
CADCXH010000117.1	151090
CADCXH010000118.1	226113
CADCXH010000119.1	142569
CADCXH010000120.1	139519
CADCXH010000121.1	137056
CADCXH010000122.1	135750
CADCXH010000123.1	800838
CADCXH010000124.1	123475
CADCXH010000125.1	543823
CADCXH010000126.1	63957
CADCXH010000127.1	135656
CADCXH010000128.1	158606
CADCXH010000129.1	138885
CADCXH010000130.1	213710
CADCXH010000131.1	31917
CADCXH010000132.1	192304
CADCXH010000133.1	122499
CADCXH010000134.1	24192
CADCXH010000135.1	80452
CADCXH010000136.1	34710
CADCXH010000137.1	80340
CADCXH010000138.1	59023
CADCXH010000139.1	90223
CADCXH010000140.1	80828
CADCXH010000141.1	18545
CADCXH010000142.1	79317
CADCXH010000143.1	76490
